"RowNames","lon","lat","elevation","vegetation","exposure","slope","veg9"
"6762",612.78067372160001,691.86517082659998,2045,36,80,8,8
"6763",616.2909662216,691.86517082659998,1767,15,231,2,6
"6764",619.80125872159999,691.86517082659998,1528,12,79,12,5
"6765",623.31155122159998,691.86517082659998,1739,15,69,1,6
"6766",626.82184372159998,691.86517082659998,1721,15,90,4,6
"6767",630.33213622159997,691.86517082659998,1671,15,351,7,6
"6768",633.84242872159996,691.86517082659998,1523,26,350,4,7
"6769",637.35272122159995,691.86517082659998,1454,26,250,4,7
"6770",640.86301372160005,691.86517082659998,1530,26,136,5,7
"6771",644.37330622160005,691.86517082659998,1558,26,184,16,7
"6772",742.66149622160003,691.86517082659998,850,40,109,5,9
"6773",746.17178872160002,691.86517082659998,770,40,75,6,9
"6774",749.68208122160001,691.86517082659998,731,40,342,0,9
"6775",753.19237372160001,691.86517082659998,805,40,233,5,9
"6776",756.7026662216,691.86517082659998,787,40,309,3,9
"6777",760.21295872159999,691.86517082659998,732,40,310,1,9
"6778",763.72325122159998,691.86517082659998,854,40,7,4,9
"6779",767.23354372159997,691.86517082659998,722,3,48,6,1
"6780",770.74383622159996,691.86517082659998,655,3,302,5,1
"6781",774.25412872159995,691.86517082659998,653,2,342,0,1
"6782",777.76442122159995,691.86517082659998,641,2,45,0,1
"6783",479.3895587216,689.32070582660003,1535,26,48,5,7
"6784",482.89985122159999,689.32070582660003,1432,26,127,0,7
"6785",486.41014372159998,689.32070582660003,1402,26,-1,0,7
"6786",489.92043622160003,689.32070582660003,1411,26,211,5,7
"6787",493.43072872160002,689.32070582660003,1381,26,269,21,7
"6788",496.94102122160001,689.32070582660003,1427,26,326,6,7
"6789",500.4513137216,689.32070582660003,1455,26,57,12,7
"6790",503.96160622159999,689.32070582660003,1403,26,69,11,7
"6791",507.47189872159998,689.32070582660003,1581,26,115,6,7
"6792",510.98219122159998,689.32070582660003,1520,26,358,3,7
"6793",514.49248372160002,689.32070582660003,1524,26,-1,0,7
"6794",518.00277622160002,689.32070582660003,1705,12,305,9,5
"6795",521.51306872160001,689.32070582660003,1950,12,57,5,5
"6796",525.0233612216,689.32070582660003,1647,26,78,1,7
"6797",528.53365372159999,689.32070582660003,1607,26,106,11,7
"6798",532.04394622159998,689.32070582660003,1646,12,98,0,5
"6799",535.55423872159997,689.32070582660003,1493,26,-1,0,7
"6800",539.06453122159996,689.32070582660003,1463,26,-1,0,7
"6801",542.57482372159996,689.32070582660003,1454,2,105,0,1
"6802",546.08511622159995,689.32070582660003,1432,2,45,0,1
